table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
m_brgh,m_ghxh,1,8,8,,0,0,8.0,8.0,8.0,0.0,0.0
RS_ResidentInfo,JKKH,1,10,10,,1,0,8.0,8.0,8.0,0.0,0.0
RS_ResidentInfo,TYPE,1,2,2,,0,0,2.0,2.0,2.0,0.0,0.0
m_brgh,m_ghrq,3,23,16,3.0,0,0,8.0,8.0,8.0,0.0,0.0
m_brgh,ghlb,1,2,2,,1,0,2.0,2.0,2.0,0.0,0.0
m_brgh,ifjz,1,1,1,,1,0,1.0,1.0,1.0,0.0,0.0
m_brgh,m_brxm,1,50,50,,0,0,40.0,1.0,5.0,0.7,0.49
RS_ResidentInfo,XB,1,1,1,,1,0,1.0,1.0,1.0,0.0,0.0
RS_ResidentInfo,CSRQ,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
m_brgh,ksbm,1,4,4,,1,0,4.0,4.0,4.0,0.0,0.0
m_brgh,ksbm,1,4,4,,1,0,4.0,4.0,4.0,0.0,0.0
m_brgh,ysbm,1,6,6,,1,0,6.0,6.0,6.0,0.0,0.0
m_brgh,ysbm,1,6,6,,1,0,6.0,6.0,6.0,0.0,0.0
m_brgh,m_ghje,2,8,10,2.0,0,0,11.0,-11.0,2.0,1.83,3.33
m_brgh,m_zlje,2,8,10,2.0,0,0,2.0,0.0,0.0,0.0,0.0
m_brgh,ghlsh,1,20,20,,1,0,10.0,10.0,10.0,0.0,0.0
